
Label=ID(M1) vs V(VGS)
LabelX=V(VGS)
LabelY=ID(M1)
Data Point Count=11
V(VGS),V(VGS),ID(M1)
 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0100000000038950E-012
 5.0000000000000000E-001, 5.0000000000000000E-001, 5.0100005088659441E-012
 1.0000000000000000E+000, 1.0000000000000000E+000, 5.0764720107651555E-012
 1.5000000000000000E+000, 1.5000000000000000E+000, 8.4363622229996046E-009
 2.0000000000000000E+000, 2.0000000000000000E+000, 9.9326618580224238E-005
 2.5000000000000000E+000, 2.5000000000000000E+000, 5.9263958891778081E-004
 3.0000000000000000E+000, 3.0000000000000000E+000, 1.0424692340101948E-003
 3.5000000000000000E+000, 3.5000000000000000E+000, 1.4533973338768057E-003
 4.0000000000000000E+000, 4.0000000000000000E+000, 1.8404409018882948E-003
 4.5000000000000000E+000, 4.5000000000000000E+000, 2.2120391034388836E-003
 5.0000000000000000E+000, 5.0000000000000000E+000, 2.5729219879929472E-003
