
Label=ID(M1) vs V(VGS)
LabelX=V(VGS)
LabelY=ID(M1)
Data Point Count=11
V(VGS),V(VGS),ID(M1)
 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0100000000003731E-012
 5.0000000000000000E-001, 5.0000000000000000E-001, 5.0100000487466920E-012
 1.0000000000000000E+000, 1.0000000000000000E+000, 5.0163679677510508E-012
 1.5000000000000000E+000, 1.5000000000000000E+000, 8.2594725914110810E-010
 2.0000000000000000E+000, 2.0000000000000000E+000, 2.3643326122275954E-005
 2.5000000000000000E+000, 2.5000000000000000E+000, 2.5986655311026840E-004
 3.0000000000000000E+000, 3.0000000000000000E+000, 4.8703766277680518E-004
 3.5000000000000000E+000, 3.5000000000000000E+000, 6.9401530076073270E-004
 4.0000000000000000E+000, 4.0000000000000000E+000, 8.8847161339345468E-004
 4.5000000000000000E+000, 4.5000000000000000E+000, 1.0748711538671487E-003
 5.0000000000000000E+000, 5.0000000000000000E+000, 1.2557192511462472E-003
